,codes,sec_name,SEO_class,wind_class,sw_class,zx_class
157,002457.SZ,青龙管业,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-管材,建材--结构材料--其他结构材料
158,002545.SZ,东方铁塔,,工业--资本货物--建筑产品Ⅲ--建筑产品,,建筑--建筑施工--专业工程及其他
159,002641.SZ,永高股份,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-管材,建材--装饰材料--其他装饰材料
160,002652.SZ,扬子新材,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建材--专用材料Ⅱ--其他专用材料
161,002671.SZ,龙泉股份,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-管材,建材--结构材料--其他结构材料
162,002694.SZ,顾地科技,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-管材,
163,002718.SZ,友邦吊顶,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建材--装饰材料--其他装饰材料
164,002790.SZ,瑞尔特,,工业--资本货物--建筑产品Ⅲ--建筑产品,,
165,002791.SZ,坚朗五金,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建材--装饰材料--其他装饰材料
166,002798.SZ,帝欧家居,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建材--装饰材料--陶瓷
167,002918.SZ,蒙娜丽莎,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建材--装饰材料--陶瓷
168,003012.SZ,东鹏控股,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建材--装饰材料--陶瓷
169,200055.SZ,方大B,,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-专业工程-其他专业工程,建材--专用材料Ⅱ--其他专用材料
170,300021.SZ,大禹节水,,工业--资本货物--建筑产品Ⅲ--建筑产品,,建材--专用材料Ⅱ--其他专用材料
171,300198.SZ,纳川股份,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-管材,建材--专用材料Ⅱ--其他专用材料
172,300234.SZ,开尔新材,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建材--专用材料Ⅱ--其他专用材料
173,300344.SZ,太空智造,,工业--资本货物--建筑产品Ⅲ--建筑产品,,建材--专用材料Ⅱ--其他专用材料
174,300374.SZ,中铁装配,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-耐火材料,建材--装饰材料--其他装饰材料
175,300599.SZ,雄塑科技,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-管材,
176,300767.SZ,震安科技,,工业--资本货物--建筑产品Ⅲ--建筑产品,,
177,600321.SH,正源股份,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建材--装饰材料--其他装饰材料
178,601700.SH,风范股份,,工业--资本货物--建筑产品Ⅲ--建筑产品,,
179,603038.SH,华立股份,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建材--装饰材料--其他装饰材料
180,603256.SH,宏和科技,,工业--资本货物--建筑产品Ⅲ--建筑产品,,
181,603385.SH,惠达卫浴,,工业--资本货物--建筑产品Ⅲ--建筑产品,,
182,603577.SH,汇金通,,工业--资本货物--建筑产品Ⅲ--建筑产品,,
183,603616.SH,韩建河山,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-管材,建材--结构材料--其他结构材料
184,603856.SH,东宏股份,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-管材,
185,603992.SH,松霖科技,,工业--资本货物--建筑产品Ⅲ--建筑产品,,
186,605318.SH,法狮龙,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建材--装饰材料--其他装饰材料
